Ald,tag,flag,position,C=O,Tot,NBO_Cring,NBO_Carbonyl,NBO_O,diff_Ca_Cr,diff_Ca_O,L,B1,B5,class
./o_fluoro_benzaldehyde,2-F,1,2,1833.4628,0.949185866,-0.25083,0.41843,-0.50953,0.66926,0.92796,6.75,1.7,3.7,1
./m_bromo_benzaldehyde,3-Br,2,3,1846.0299,0.697785613,-0.16573,0.42545,-0.50428,0.59118,0.92973,6.82,1.77,4.82,1
./m_chloro_benzaldehyde,3-Cl,3,3,1846.0884,0.612059731,-0.16527,0.42524,-0.50462,0.59051,0.92986,6.74,1.73,4.53,1
./m_cyano_benzaldehyde,3-CN,4,3,1848.9633,0.277900433,-0.17556,0.42447,-0.49919,0.60003,0.92366,6.95,1.7,5.15,1
./m_fluoro_benzaldehyde,3-F,5,3,1846.5946,0.348270204,-0.15891,0.42426,-0.50455,0.58317,0.92881,6.74,1.7,3.72,1
./m_iodo_benzaldehyde,3-I,6,3,1845.7342,0.874291442,-0.16781,0.42579,-0.50481,0.5936,0.9306,7.12,1.83,5.19,1
./m_methyl_formyl_benzaldehyde,3-CO2Me,7,3,1843.7428,0.920074313,-0.18492,0.42554,-0.50912,0.61046,0.93466,8.74,1.74,5.33,1
./m_trifluoromethyl_benzaldehyde,3-CF3,8,3,1847.1682,0.274197114,-0.17619,0.42449,-0.50316,0.60068,0.92765,6.87,1.92,4.92,1
./p_bromo_benzaldehyde,4-Br,9,4,1842.4847,0.756542964,-0.18654,0.42419,-0.50861,0.61073,0.9328,8.48,1.94,3.16,1
./p_chloro_benzaldehyde,4-Cl,10,4,1841.9904,0.701462423,-0.18883,0.42408,-0.50981,0.61291,0.93389,8.17,1.8,3.16,1
./p_cyano_benzaldehyde,4-CN,11,4,1848.069,0.574411923,-0.15808,0.42171,-0.49716,0.57979,0.91887,8.93,1.7,3.16,1
./p_fluoro_benzaldehyde,4-F,12,4,1840.81,0.556840669,-0.20142,0.42491,-0.51383,0.62633,0.93874,7.31,1.7,3.15,1
./p_iodo_benzaldehyde,4-I,13,4,1842.1956,0.899942143,-0.1847,0.42433,-0.50816,0.60903,0.93249,8.88,2.15,3.16,1
./p_methyl_formyl_benzaldehyde,4-CO2Me,14,4,1845.2672,1.037755803,-0.16021,0.42288,-0.50344,0.58309,0.92632,9.62,1.81,3.27,1
./p_trifluoromethyl_benzaldehyde,4-CF3,15,4,1847.9824,0.60992075,-0.16453,0.4235,-0.50091,0.58803,0.92441,8.03,2.13,3.16,1
